window,repo,trend_gain,total_stars,language,license,category,gse_mapping,posture,risk,reason
monthly,NVIDIA/SkillSpector,10790,12793,Python,Apache-2.0,AI skill security,"Primary candidate for scanning skill bundles, MCP definitions, agent instructions, dependency vulnerabilities, and SARIF CI output.",PILOT_CI,MEDIUM,"Scanner coverage is not proof of safety; combine with manual review, allowlists, SBOM, and runtime controls."
monthly,stablyai/orca,11236,16036,TypeScript,VERIFY,parallel agent development environment,Strong evidence that isolated worktree orchestration and owner monitoring are becoming standard.,REFERENCE_OPERATOR_TOOL,MEDIUM,Avoid coupling product runtime to a desktop development environment.
monthly,apple/container,19234,47492,Swift,Apache-2.0,lightweight VM containers on macOS,Potential local Mac isolation substrate for development agents; not a production architecture decision.,OBSERVE,MEDIUM,Apple-silicon/macOS scope limits portability.
monthly,iptv-org/iptv,14876,,JavaScript,VERIFY,media stream index,None for product ingestion.,QUARANTINE_RIGHTS,BLOCKED,Sports/media rights exposure conflicts with GSE source-clearance doctrine.
monthly,alibaba/page-agent,7398,25873,TypeScript,MIT,in-page GUI agent,"Momentum reinforces an internal natural-language cockpit layer, but only over typed intents and approved components.",PROTOTYPE_INTERNAL_ONLY,HIGH,DOM automation is not an authorization system.
monthly,diegosouzapw/OmniRoute,8867,15166,TypeScript,MIT,AI gateway / model routing,"Momentum reinforces provider-neutral routing, failover, budget ceilings, and task-specific lanes.",ADOPT_PATTERNS_NOT_DEPENDENCY,HIGH,Build on official provider APIs and explicit contracts; never automate account abuse or bypass.
monthly,kunchenguid/no-mistakes,4599,,Shell/Python,VERIFY,agent PR safety gate,"Adopt disposable worktree, review, test, lint, docs, CI, and human-escalation sequence before any agent PR.",ADOPT_PATTERNS,LOW,Safe auto-fixes still require scope limits and evidence.
monthly,bradautomates/claude-video,5106,7229,Python,VERIFY,video understanding,Momentum supports a rights-aware Film Room evidence pipeline.,PROTOTYPE_RIGHTS_CLEARED,HIGH,No unauthorized video acquisition.
monthly,Zackriya-Solutions/meetily,9968,22765,Rust/TypeScript,MIT,local transcription / meeting intelligence,Useful privacy-first patterns for owner research capture and decision-memory candidates.,REFERENCE_ONLY,MEDIUM,Consent and retention controls are mandatory.
targeted,duixcom/Duix-Avatar,,,C++/Python,CUSTOM,offline digital avatar,"Reference for future host/avatar workflows, not a near-term core dependency.",OWNER_LEGAL_REVIEW,CRITICAL,"Custom license, likeness/voice consent, biometric privacy, attribution, and commercial thresholds require review."
targeted,Wan-Video/Wan2.1,,,Python,Apache-2.0,open video generation,Optional local/worker video renderer for approved GSE storyboards and visual explainers.,PROTOTYPE_OFFLINE,HIGH,"GPU cost, content rights, provenance, and quality control."
targeted,Comfy-Org/ComfyUI,,,Python,VERIFY,node-based multimodal workflow engine,Potential execution graph for image/video/audio/3D asset production behind GSE Studio manifests.,PROTOTYPE_OFFLINE,HIGH,"Custom nodes are code; scan every node, pin versions, and isolate network/filesystem access."
targeted,debpalash/OmniVoice-Studio,,,Python/TypeScript,AGPL-3.0,local voice clone / dubbing,"Reference for local voice, diarization, dubbing, watermarking, diagnostics, and engine preflight.",REFERENCE_ONLY_UNTIL_CONSENT_LICENSE_REVIEW,CRITICAL,"Voice cloning carries impersonation, consent, biometric/privacy, and AGPL risk."
targeted,cheahjs/free-llm-api-resources,,,Python,VERIFY,legitimate free LLM provider directory,Input to a continuously verified provider catalog; never a production SLA or license substitute.,REFERENCE_ONLY,HIGH,Limits and terms change; do not abuse free tiers or send proprietary data to training-enabled endpoints.
targeted,Hugging Bay concept shown in screenshot,,,N/A,N/A,torrent-style model distribution,None.,QUARANTINE,BLOCKED,"Piracy, malware, model provenance, license, and supply-chain risk."
targeted,ZoeyOS/Jarvis visual knowledge-graph concept,,,Unknown,Unknown,AI workspace / knowledge graph,"Visual inspiration for Jarvis Knowledge Graph, owner command center, and evidence-linked memory — not an integration recommendation.",DESIGN_REFERENCE,MEDIUM,"Marketing screenshots do not establish technical claims, license, or security."
targeted,Open-Operator-AI screenshot reference,,,Unknown,Unknown,browser/operator agent,Conceptual reference for governed browser tasks only.,UNVERIFIED_REFERENCE,CRITICAL,Exact repository and provenance were not established from the blurred screenshot; do not install or cite as verified.
