name,url,category,data_format,free_signal,paid_lock,gse_use,legal_risk
Dimers,https://www.dimers.com/app,"AI betting picks, odds comparison and props","Model probabilities, edge ratings, sportsbook odds comparison, saved bets, Dimebot, Pro trial/subscription","Articles, app pages, limited predictions","Dimers Pro, app trial/subscription, private Discord","Benchmark probability/edge explanation, odds shopping, AI assistant and Pro lock strategy",Medium-high. Betting advice/compliance and data-provider rights
Rebet,https://rebet.app/,Free-to-play social sportsbook and social casino,"Social feed, friend challenges, simplified lines, coins, leaderboards, bonuses, casino-style games",Free-to-play social mechanics and public app pages,Coins/purchases/promos depending product state; sweepstakes/social-casino constraints,"Benchmark social feed, parlay-style play, challenge mechanics, leaderboards, milestones, and non-real-money engagement",High. Sweepstakes/social casino law and responsible-gaming risk
Betr,https://www.betr.app/,"Fantasy pick'em, social sportsbook and social casino","Pick'em, sportsbook, social casino and arcade product mix",Product positioning and app marketing,"Account, geography, product-specific paid play",Benchmark product-bundle strategy and entertainment-first cross-sell,High. Betting/social-casino compliance
Ballers.app,https://ballers.app/,Fantasy sports betting/community,"Fantasy sports betting community, friends/social play, multi-sport positioning",Public positioning,App/account and product mechanics need deeper direct verification,"Track social fantasy-betting language, community framing and international-style product patterns",Medium-high. Current mechanics need direct legal/product verification
Fantasy Footballers / Ballers UDK,https://www.thefantasyfootballers.com/fantasy-football-draft-kit,"Fantasy media, draft kit and premium tools","Rankings, projections, tiered rankings, rookie updates, league-settings import, podcast/community funnel",Podcast/content and some app exposure,Ultimate Draft Kit and premium tools,"Benchmark brand voice, trust-led content, draft-kit monetization and league import personalization",Low-medium. Do not copy rankings/projections
Yahoo DFS/Fantasy,https://legal.yahoo.com/us/en/yahoo/terms/rules/dailyfantasyfootball/index.html,Season-long and daily fantasy,"DFS rules, paid/free contests, season-long leagues, public help/rules",Rules and public fantasy content,"Contest entries, OAuth/API for authorized private fantasy data",Benchmark mainstream fantasy lifecycle and possible user-authorized import path,Medium. User OAuth consent required for private data
ESPN Fantasy,https://www.espn.com/fantasy/football/,Mass-market season-long fantasy,"League management, rankings, projections, articles, roster tools",Public content and mass UX benchmark,Account/private leagues; Disney terms restrict automated extraction,"Benchmark onboarding, mainstream trust, league-home information hierarchy",High for scraping or data extraction
MyFantasyLeague,https://home.myfantasyleague.com/,Commissioner/custom league platform,"Highly configurable leagues, custom scoring, exports/APIs depending league settings",Public league/config examples and documentation,League hosting and private league data,"Benchmark deep custom scoring, commissioner controls and export-led ingestion opportunities",Medium. Use owner-authorized exports only
OwnersBox,https://ownersbox.com/,DFS/superflex and fantasy contests,"Contests, salaries, fantasy scoring, platform-specific rules",Public product pages,Entries/account/geography,Track alternative contest formats and support in optimizer provider abstraction,Medium-high. Use rules/product analysis only
Splash Sports,https://splashsports.com/,Peer-to-peer sports contests,"Pools, brackets, peer contests, league/group mechanics",Public product and contest pages,Entries/account/geography,Benchmark group contests and social competition loops,Medium-high. Do not scrape private contest data
Novig,https://www.novig.us/,Sports prediction/market style platform,"Market prices, user trading/betting style mechanics",Public product positioning,Account/geography/product approval,Watch prediction-market crossover and no-vig/value language,High. Regulatory product category differs by jurisdiction
Kalshi,https://kalshi.com/,Regulated prediction markets,"Event contracts, market prices, order books, official settlement rules",Public markets and rules,Account/KYC and trading,Benchmark event-contract UX and market-implied probability education,High. Do not conflate with fantasy or sportsbook mechanics
Polymarket,https://polymarket.com/,Prediction markets,"Event markets, prices, liquidity, comments/community",Public market pages,Crypto/geography/account constraints,"Watch market social proof and probability literacy, not direct sports/fantasy ingestion",High. Regulatory and geographic constraints
